기온,노면온도,humi_,시간,경도,위도
-1.5,-3.8,53.3,2024-01-24 17:49,127.1112902,34.7716389
-1.5,-3.6,53.3,2024-01-24 17:49,127.1113139,34.7716661
-1.5,-3.6,53.3,2024-01-24 17:49,127.1113139,34.7716661
-1.5,-3.9,53.3,2024-01-24 17:49,127.1113425,34.7716939
-1.5,-4,53.3,2024-01-24 17:49,127.1113425,34.7716939
-1.5,-3.7,53.3,2024-01-24 17:49,127.1113762,34.7717206
-1.5,-3.4,53.3,2024-01-24 17:49,127.1113762,34.7717206
-1.5,-3.4,53.3,2024-01-24 17:49,127.1114137,34.7717503
-1.5,-3.4,53.3,2024-01-24 17:49,127.1114137,34.7717503
-1.5,-3.7,53.3,2024-01-24 17:49,127.1114527,34.7717858
-1.5,-3.4,53.3,2024-01-24 17:49,127.1114527,34.7717858
-1.5,-3.3,53.3,2024-01-24 17:49,127.1114876,34.7718145
-1.5,-3.6,53.3,2024-01-24 17:49,127.1114876,34.7718145
-1.4,-3.7,53.3,2024-01-24 17:49,127.1115268,34.7718534
-1.5,-3.7,53.3,2024-01-24 17:49,127.1115268,34.7718534
-1.4,-4.1,53.3,2024-01-24 17:49,127.1115777,34.7719014
-1.5,-3.2,53.3,2024-01-24 17:49,127.1115777,34.7719014
-1.4,-3.2,53.3,2024-01-24 17:49,127.1116327,34.7719502
-1.4,-3.3,53.3,2024-01-24 17:49,127.1116327,34.7719502
-1.4,-3.5,53.3,2024-01-24 17:49,127.111692,34.7720006
-1.4,-3.6,53.3,2024-01-24 17:49,127.111692,34.7720006
-1.4,-3.5,53.3,2024-01-24 17:49,127.1117568,34.7720561
-1.4,-3.5,53.3,2024-01-24 17:49,127.1117568,34.7720561
-1.3,-3.9,53.3,2024-01-24 17:49,127.1118203,34.7721097
-1.3,-4.2,53.4,2024-01-24 17:49,127.1118203,34.7721097
-1.3,-3.6,53.4,2024-01-24 17:49,127.1118884,34.7721673
-1.3,-3.5,53.4,2024-01-24 17:49,127.1118884,34.7721673
-1.3,-3.5,53.4,2024-01-24 17:49,127.111958,34.7722295
-1.3,-3.6,53.4,2024-01-24 17:49,127.111958,34.7722295
-1.2,-3.7,53.4,2024-01-24 17:49,127.1120261,34.7722966
-1.2,-4,53.4,2024-01-24 17:49,127.1120261,34.7722966
-1.2,-4,53.4,2024-01-24 17:49,127.1121001,34.7723689
-1.2,-3.9,53.4,2024-01-24 17:49,127.1121001,34.7723689
-1.2,-3.9,53.4,2024-01-24 17:49,127.1121789,34.7724421
-1.2,-3.7,53.4,2024-01-24 17:49,127.1121789,34.7724421
-1.2,-3.9,53.4,2024-01-24 17:49,127.1122586,34.7725163
-1.2,-3.9,53.4,2024-01-24 17:49,127.1122586,34.7725163
-1.1,-3.8,53.4,2024-01-24 17:49,127.1123386,34.772592
-1.2,-6.6,53.4,2024-01-24 17:49,127.1123386,34.772592
-1.2,-5.4,53.4,2024-01-24 17:49,127.1124253,34.7726658
-1.2,-5.9,53.5,2024-01-24 17:49,127.1124253,34.7726658
-1.1,-6,53.5,2024-01-24 17:49,127.1125129,34.7727441
-1.1,-6.3,53.5,2024-01-24 17:49,127.1125129,34.7727441
-1.1,-6.4,53.5,2024-01-24 17:49,127.1126027,34.7728249
-1.1,-6.5,53.5,2024-01-24 17:49,127.1126027,34.7728249
-1.1,-6.6,53.5,2024-01-24 17:49,127.1126953,34.7729069
-1.1,-6.7,53.5,2024-01-24 17:49,127.1126953,34.7729069
-1.1,-6.7,53.5,2024-01-24 17:49,127.1127908,34.7729899
-1.1,-6.5,53.6,2024-01-24 17:49,127.1127908,34.7729899
-1.1,-6.5,53.6,2024-01-24 17:49,127.1128881,34.7730736
-1.1,-6.5,53.6,2024-01-24 17:49,127.1128881,34.7730736
-1.1,-6.7,53.6,2024-01-24 17:49,127.1129861,34.7731551
-1.1,-6.6,53.6,2024-01-24 17:49,127.1129861,34.7731551
-1.1,-6.8,53.6,2024-01-24 17:49,127.1130918,34.7732341
-1.1,-6.6,53.6,2024-01-24 17:49,127.1130918,34.7732341
-1.1,-6.9,53.6,2024-01-24 17:49,127.113204,34.7733094
-1.1,-6.8,53.7,2024-01-24 17:49,127.113204,34.7733094
-1.1,-6.5,53.7,2024-01-24 17:49,127.1133233,34.7733879
-1.1,-6.4,53.7,2024-01-24 17:49,127.1133233,34.7733879
-1.1,-6.5,53.7,2024-01-24 17:49,127.1134431,34.773465
-1.1,-6.5,53.8,2024-01-24 17:49,127.1134431,34.773465
-1.1,-6.5,53.8,2024-01-24 17:49,127.1135687,34.7735388
-1.1,-6.4,53.8,2024-01-24 17:49,127.1135687,34.7735388
-1.1,-6.5,53.8,2024-01-24 17:49,127.1137011,34.773611
-1.1,-6.4,53.8,2024-01-24 17:49,127.1137011,34.773611
-1.1,-6.7,53.8,2024-01-24 17:49,127.1138376,34.7736824
-1.1,-6.8,53.8,2024-01-24 17:49,127.1138376,34.7736824
-1.1,-6.9,53.8,2024-01-24 17:49,127.1139796,34.7737554
-1.1,-6.5,53.8,2024-01-24 17:49,127.1139796,34.7737554
-1.1,-6.6,53.8,2024-01-24 17:49,127.114127,34.7738233
-1.1,-6.6,53.8,2024-01-24 17:49,127.114127,34.7738233
-1.1,-6.7,53.8,2024-01-24 17:49,127.1142757,34.773887
-1.1,-6.9,53.8,2024-01-24 17:49,127.1142757,34.773887
-1.1,-6.4,53.8,2024-01-24 17:49,127.1144227,34.7739456
-1.1,-6.7,53.8,2024-01-24 17:49,127.1144227,34.7739456
-1.2,-6.6,53.8,2024-01-24 17:49,127.114571,34.7740016
-1.2,-5.6,53.9,2024-01-24 17:49,127.114571,34.7740016
-1.2,-5.5,53.9,2024-01-24 17:49,127.1147242,34.7740512
-1.1,-5.4,53.9,2024-01-24 17:49,127.1147242,34.7740512
-1.2,-5.4,53.9,2024-01-24 17:49,127.1148811,34.7740976
-1.2,-4.2,53.9,2024-01-24 17:49,127.1148811,34.7740976
-1.2,-3.9,53.9,2024-01-24 17:49,127.1150384,34.7741434
-1.2,-3.9,53.9,2024-01-24 17:49,127.1150384,34.7741434
-1.2,-3.8,53.9,2024-01-24 17:49,127.115203,34.7741854
-1.2,-3.6,54,2024-01-24 17:49,127.115203,34.7741854
-1.2,-3.8,54,2024-01-24 17:49,127.115368,34.7742208
-1.2,-3.4,54,2024-01-24 17:49,127.115368,34.7742208
-1.2,-3.5,54,2024-01-24 17:49,127.1155358,34.7742486
-1.2,-3.2,53.9,2024-01-24 17:49,127.1155358,34.7742486
-1.2,-3.1,53.9,2024-01-24 17:49,127.1157088,34.774274
-1.2,-3.2,53.9,2024-01-24 17:49,127.1157088,34.774274
-1.2,-3.2,53.9,2024-01-24 17:49,127.1158895,34.7742945
-1.2,-2.7,53.9,2024-01-24 17:49,127.1158895,34.7742945
-1.2,-2.9,53.9,2024-01-24 17:49,127.1160716,34.7743105
-1.2,-2.6,53.9,2024-01-24 17:49,127.1160716,34.7743105
-1.2,-3,53.9,2024-01-24 17:49,127.1162579,34.7743232
-1.2,-2.4,53.9,2024-01-24 17:49,127.1162579,34.7743232
-1.2,-2.7,53.9,2024-01-24 17:49,127.1164444,34.7743307
-1.2,-2.3,53.9,2024-01-24 17:49,127.1164444,34.7743307
-1.2,-2.4,53.9,2024-01-24 17:49,127.1166341,34.774333
-1.3,-1.8,54,2024-01-24 17:49,127.1166341,34.774333
-1.3,-1.7,54,2024-01-24 17:50,127.1168241,34.7743286
-1.2,-1.7,54,2024-01-24 17:50,127.1168241,34.7743286
-1.3,-1.7,54,2024-01-24 17:50,127.1170154,34.7743198
-1.2,-1.7,54,2024-01-24 17:50,127.1170154,34.7743198
-1.3,-1.5,54,2024-01-24 17:50,127.1172077,34.7743076
-1.3,-1.7,54,2024-01-24 17:50,127.1173962,34.7742916
-1.3,-1.3,54,2024-01-24 17:50,127.1173962,34.7742916
-1.3,-1.4,54.1,2024-01-24 17:50,127.1175828,34.7742742
-1.3,-1.7,54.1,2024-01-24 17:50,127.1175828,34.7742742
-1.3,-1.6,54.1,2024-01-24 17:50,127.1175828,34.7742742
-1.3,-1.1,54.1,2024-01-24 17:50,127.1177723,34.7742569
-1.3,-1.2,54.1,2024-01-24 17:50,127.1179649,34.7742397
-1.3,-1.1,54.1,2024-01-24 17:50,127.1179649,34.7742397
-1.3,-1.6,54.1,2024-01-24 17:50,127.1181585,34.7742237
-1.3,-1.4,54.1,2024-01-24 17:50,127.1181585,34.7742237
-1.3,-1.3,54.1,2024-01-24 17:50,127.1183478,34.7742088
-1.3,-1.4,54.1,2024-01-24 17:50,127.1183478,34.7742088
-1.3,-2.1,54.1,2024-01-24 17:50,127.1183478,34.7742088
-1.3,-1.9,54.1,2024-01-24 17:50,127.1185374,34.7741964
-1.3,-2.3,54.1,2024-01-24 17:50,127.1187287,34.774183
-1.3,-2.2,54.1,2024-01-24 17:50,127.1187287,34.774183
-1.3,-2.4,54.1,2024-01-24 17:50,127.1189247,34.7741685
-1.3,-2.4,54.1,2024-01-24 17:50,127.1189247,34.7741685
-1.4,-2.2,54.1,2024-01-24 17:50,127.1191233,34.7741544
-1.3,-2.4,54.1,2024-01-24 17:50,127.1191233,34.7741544
-1.3,-2.2,54.1,2024-01-24 17:50,127.1193169,34.7741391
-1.4,-2.4,54.1,2024-01-24 17:50,127.1193169,34.7741391
-1.3,-2.5,54.1,2024-01-24 17:50,127.1195118,34.7741233
-1.3,-2.5,54.1,2024-01-24 17:50,127.1195118,34.7741233
-1.3,-2.5,54.1,2024-01-24 17:50,127.1195118,34.7741233
-1.4,-2.3,54.1,2024-01-24 17:50,127.1197102,34.7741079
-1.4,-2.1,54.1,2024-01-24 17:50,127.1199056,34.774095
-1.4,-2.2,54.1,2024-01-24 17:50,127.1199056,34.774095
-1.4,-2.5,54.1,2024-01-24 17:50,127.1199056,34.774095
-1.4,-2.3,54.1,2024-01-24 17:50,127.1201006,34.774082
-1.4,-1.8,54.2,2024-01-24 17:50,127.1201006,34.774082
-1.4,-2.3,54.2,2024-01-24 17:50,127.1202915,34.7740695
-1.4,-2.5,54.2,2024-01-24 17:50,127.1202915,34.7740695
-1.4,-2.5,54.2,2024-01-24 17:50,127.1204785,34.7740593
-1.4,-2.7,54.3,2024-01-24 17:50,127.1206582,34.774049
-1.4,-2.1,54.3,2024-01-24 17:50,127.1206582,34.774049
-1.4,-2,54.3,2024-01-24 17:50,127.1208401,34.7740409
-1.4,-1.6,54.3,2024-01-24 17:50,127.1208401,34.7740409
-1.4,-2.2,54.3,2024-01-24 17:50,127.1210239,34.7740299
-1.4,-2.3,54.3,2024-01-24 17:50,127.1210239,34.7740299
-1.4,-2.4,54.3,2024-01-24 17:50,127.1212083,34.7740225
-1.4,-2.5,54.3,2024-01-24 17:50,127.1212083,34.7740225
-1.4,-2.9,54.3,2024-01-24 17:50,127.1213939,34.7740148
-1.4,-2.7,54.3,2024-01-24 17:50,127.1213939,34.7740148
-1.4,-2.7,54.3,2024-01-24 17:50,127.1215791,34.7740095
-1.4,-2.4,54.3,2024-01-24 17:50,127.1215791,34.7740095
-1.4,-2.6,54.4,2024-01-24 17:50,127.1217634,34.7740063
-1.4,-2.2,54.4,2024-01-24 17:50,127.1217634,34.7740063
-1.5,-2.1,54.4,2024-01-24 17:50,127.1219455,34.7740029
-1.5,-2.3,54.4,2024-01-24 17:50,127.1219455,34.7740029
-1.5,-2,54.4,2024-01-24 17:50,127.1221302,34.7739999
-1.5,-3,54.4,2024-01-24 17:50,127.1221302,34.7739999
-1.5,-2.8,54.4,2024-01-24 17:50,127.1223144,34.7740016
-1.5,-3.1,54.4,2024-01-24 17:50,127.1223144,34.7740016
-1.5,-3.1,54.5,2024-01-24 17:50,127.1225016,34.7740056
-1.5,-2.9,54.5,2024-01-24 17:50,127.1225016,34.7740056
-1.5,-2.7,54.5,2024-01-24 17:50,127.1226902,34.7740048
-1.5,-2.5,54.5,2024-01-24 17:50,127.1226902,34.7740048
-1.5,-3,54.5,2024-01-24 17:50,127.1228744,34.7739999
-1.5,-3,54.5,2024-01-24 17:50,127.1228744,34.7739999
-1.5,-3.1,54.5,2024-01-24 17:50,127.1230503,34.7739933
-1.5,-3.4,54.5,2024-01-24 17:50,127.1230503,34.7739933
-1.5,-3,54.5,2024-01-24 17:50,127.1232172,34.7739863
-1.5,-3.1,54.5,2024-01-24 17:50,127.1232172,34.7739863
-1.5,-3.1,54.5,2024-01-24 17:50,127.1233872,34.7739839
-1.5,-3.4,54.5,2024-01-24 17:50,127.1233872,34.7739839
-1.5,-3.3,54.5,2024-01-24 17:50,127.1235583,34.7739833
-1.5,-3.3,54.5,2024-01-24 17:50,127.1235583,34.7739833
-1.5,-3.5,54.5,2024-01-24 17:50,127.1237292,34.7739824
-1.6,-3.9,54.5,2024-01-24 17:50,127.1237292,34.7739824
-1.5,-3.8,54.5,2024-01-24 17:50,127.1239011,34.7739816
-1.5,-3.6,54.5,2024-01-24 17:50,127.1239011,34.7739816
-1.5,-3.1,54.5,2024-01-24 17:50,127.1240823,34.7739821
-1.5,-3,54.5,2024-01-24 17:50,127.1240823,34.7739821
-1.5,-2.9,54.6,2024-01-24 17:50,127.1242607,34.7739855
-1.5,-2.6,54.6,2024-01-24 17:50,127.1242607,34.7739855
-1.5,-2.5,54.6,2024-01-24 17:50,127.1244375,34.7739924
-1.5,-2.4,54.6,2024-01-24 17:50,127.1244375,34.7739924
-1.5,-2.3,54.6,2024-01-24 17:50,127.1246216,34.7739982
-1.5,-2.3,54.6,2024-01-24 17:50,127.1246216,34.7739982
