기온,노면온도,습도,기압,시간,경도,위도
-1.5,-4.2,52.1,10210,2024-01-24 18:19,127.3880207,34.8438915
-1.5,-4.3,52.2,10209,2024-01-24 18:19,127.3876154,34.8438849
-1.5,-3.9,52.2,10209,2024-01-24 18:19,127.3878193,34.8438882
-1.5,-4,52.2,10208,2024-01-24 18:19,127.3874111,34.8438821
-1.5,-3.7,52.2,10209,2024-01-24 18:19,127.3876154,34.8438849
-1.5,-4.3,52.2,10207,2024-01-24 18:19,127.3872044,34.8438776
-1.5,-3.8,52.2,10208,2024-01-24 18:19,127.3874111,34.8438821
-1.5,-3.8,52.2,10206,2024-01-24 18:19,127.3870008,34.843873
-1.5,-4.2,52.2,10207,2024-01-24 18:19,127.3872044,34.8438776
-1.5,-4.8,52.2,10205,2024-01-24 18:19,127.3867924,34.8438715
-1.5,-4.1,52.2,10206,2024-01-24 18:19,127.3870008,34.843873
-1.5,-4.1,52.2,10204,2024-01-24 18:19,127.3865894,34.8438673
-1.5,-4.6,52.2,10205,2024-01-24 18:19,127.3867924,34.8438715
-1.5,-4,52.2,10203,2024-01-24 18:19,127.3863828,34.8438628
-1.5,-4.1,52.2,10204,2024-01-24 18:19,127.3865894,34.8438673
-1.5,-4.8,52.2,10201,2024-01-24 18:19,127.3861753,34.8438585
-1.5,-4.6,52.2,10202,2024-01-24 18:19,127.3863828,34.8438628
-1.5,-4.9,52.2,10201,2024-01-24 18:19,127.3859711,34.8438521
-1.5,-5.2,52.2,10201,2024-01-24 18:19,127.3861753,34.8438585
-1.5,-4.8,52.2,10202,2024-01-24 18:19,127.3857694,34.8438464
-1.5,-5.1,52.2,10201,2024-01-24 18:19,127.3859711,34.8438521
-1.5,-4.7,52.2,10201,2024-01-24 18:19,127.3855652,34.8438487
-1.5,-4.9,52.2,10201,2024-01-24 18:19,127.3857694,34.8438464
-1.5,-5.4,52.2,10200,2024-01-24 18:19,127.3853615,34.8438531
-1.5,-4.7,52.2,10201,2024-01-24 18:19,127.3855652,34.8438487
-1.5,-6,52.2,10200,2024-01-24 18:19,127.3851636,34.8438592
-1.5,-5.8,52.2,10200,2024-01-24 18:19,127.3853615,34.8438531
-1.5,-5.9,52.3,10199,2024-01-24 18:19,127.3849702,34.8438722
-1.5,-6.1,52.2,10199,2024-01-24 18:19,127.3851636,34.8438592
-1.5,-6.9,52.3,10198,2024-01-24 18:19,127.3847735,34.8438894
-1.5,-6.3,52.3,10198,2024-01-24 18:19,127.3849702,34.8438722
-1.5,-6.3,52.3,10198,2024-01-24 18:19,127.3845786,34.8439117
-1.5,-6.6,52.3,10198,2024-01-24 18:19,127.3847735,34.8438894
-1.5,-6.6,52.3,10196,2024-01-24 18:19,127.3843858,34.8439367
-1.4,-6.8,52.3,10195,2024-01-24 18:19,127.3841927,34.8439643
-1.4,-6.7,52.3,10196,2024-01-24 18:19,127.3843858,34.8439367
-1.4,-6.7,52.3,10194,2024-01-24 18:19,127.3839983,34.8439942
-1.4,-6.7,52.3,10195,2024-01-24 18:19,127.3841927,34.8439643
-1.4,-6.8,52.4,10193,2024-01-24 18:19,127.3838018,34.8440295
-1.4,-6.7,52.3,10194,2024-01-24 18:19,127.3839983,34.8439942
-1.4,-6.8,52.4,10193,2024-01-24 18:19,127.3836095,34.844069
-1.4,-6.8,52.4,10193,2024-01-24 18:19,127.3838018,34.8440295
-1.4,-6.7,52.4,10192,2024-01-24 18:19,127.3834196,34.8441129
-1.3,-6.7,52.4,10192,2024-01-24 18:19,127.3836095,34.844069
-1.3,-6.6,52.4,10192,2024-01-24 18:19,127.3832313,34.8441586
-1.3,-6.6,52.4,10192,2024-01-24 18:19,127.3834196,34.8441129
-1.4,-6.6,52.4,10191,2024-01-24 18:19,127.383043,34.8442067
